date,ageGroup,confirmed,tested
2020-03-12,0-9,8,223
2020-03-12,10-19,21,374
2020-03-12,20-29,96,421
2020-03-12,30-39,112,447
2020-03-12,40-49,202,618
2020-03-12,50-59,128,445
2020-03-12,60-69,38,165
2020-03-12,70-79,4,45
2020-03-12,80-89,4,19
2020-03-12,90+,2,4
2020-03-13,0-9,10,279
2020-03-13,10-19,30,485
2020-03-13,20-29,134,607
2020-03-13,30-39,135,586
2020-03-13,40-49,253,796
2020-03-13,50-59,159,569
2020-03-13,60-69,50,247
2020-03-13,70-79,5,105
2020-03-13,80-89,7,55
2020-03-13,90+,2,18
2020-03-16,0-9,12,420
2020-03-16,10-19,33,545
2020-03-16,20-29,140,777
2020-03-16,30-39,143,832
2020-03-16,40-49,284,1089
2020-03-16,50-59,176,798
2020-03-16,60-69,62,510
2020-03-16,70-79,26,417
2020-03-16,80-89,18,292
2020-03-16,90+,4,69
2020-03-17,0-9,13,485
2020-03-17,10-19,33,560
2020-03-17,20-29,142,854
2020-03-17,30-39,147,923
2020-03-17,40-49,294,1217
2020-03-17,50-59,186,926
2020-03-17,60-69,70,636
2020-03-17,70-79,39,577
2020-03-17,80-89,28,409
2020-03-17,90+,8,95
2020-03-18,0-9,12,554
2020-03-18,10-19,33,577
2020-03-18,20-29,146,923
2020-03-18,30-39,156,1064
2020-03-18,40-49,305,1362
2020-03-18,50-59,200,1059
2020-03-18,60-69,90,752
2020-03-18,70-79,55,714
2020-03-18,80-89,38,505
2020-03-18,90+,9,121
2020-03-19,0-9,13,606
2020-03-19,10-19,35,604
2020-03-19,20-29,148,988
2020-03-19,30-39,162,1203
2020-03-19,40-49,325,1531
2020-03-19,50-59,209,1226
2020-03-19,60-69,107,927
2020-03-19,70-79,70,883
2020-03-19,80-89,51,615
2020-03-19,90+,12,163
